"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","task","correct_response","exemplar_ID","category","difficulty","phase","correct","bonus"
"true","false","[]","[]","[]","preload","0","32","0.0-0.0","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","1837","0.0-1.0","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","1792","Welcome to the Category Learning experiment! Press any key to continue."," ","welcome","","","","","","",""
"","","","","","html-keyboard-response","2","13501","0.0-2.0","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","11661","
            <p>You will be shown movies. Each movie contains a sequence of shapes changing form. 
            <br> Some shapes are category A, some are category B. <b> Within a single movie, all shapes belong to the same category. </b>
            <br> You will not know in advance which category the shapes of each movie belong to.</p>
            <p> While you watch a movie, you have to guess the category that its shapes belong to <b>(left arrow for category A, right arrow for category B)</b></p>
            <p> After you choose, the screen will show you whether you were correct or not.</p>
            <p>Press any key to continue.</p>
            ","arrowdown","introduction_1","","","","","","",""
"","","","","","html-keyboard-response","3","20472","0.0-3.0","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","6968","
              <p><b>You will receive a bonus payment for each correct answer! The faster you answer the higher the bonus will be!</b></p>
              <p> So you can increase your bonus by guessing as quickly and accurately as possible.</p>
              <p><b>You will lose $0.05 from your bonus payment for each incorrect answer! The bonus can not become less that $0.</b> </p>
              <p>Press any key to continue.</p>
              ","arrowdown","introduction_2","","","","","","",""
"","","","","","html-keyboard-response","4","23128","0.0-4.0","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","2652","
            <p> <b>The first 10 trials are a practice round that will not count towards your bonus payment.</b></p>
            <p> You will be notified when practice finishes and the test begins. </p>
            <p> Press any key to begin the practice round.</p>
            ","arrowdown","introduction_3","","","","","","",""
"","","","","","html-keyboard-response","5","24533","0.0-5.0-0.0","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","1340","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any key to continue to the next movie.</div>
        ","arrowdown","ITI","","","","","","",""
"","","","","","html-keyboard-response","6","26841","0.0-5.0-1.0","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","2304","./stimuli//pack_morph_shapes_1/cat_1/diff_1/ex_1_1_17.gif","arrowright","response","ArrowLeft","17","1","1","train","false",""
"","","","","","html-keyboard-response","7","28524","0.0-5.0-2.0","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","null","<p> <font color=""red"" size=""5vw""> Wrong category! </font> </p>","null","feedback","","","","","","","0"
"","","","","","html-keyboard-response","8","29396","0.0-5.0-0.1","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","870","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any key to continue to the next movie.</div>
        ","arrowdown","ITI","","","","","","",""
"","","","","","html-keyboard-response","9","33409","0.0-5.0-1.1","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","null","./stimuli//pack_morph_shapes_1/cat_1/diff_2/ex_1_2_17.gif","null","response","ArrowLeft","17","1","2","train","false",""
"","","","","","html-keyboard-response","10","34911","0.0-5.0-2.1","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","null","<p> <font color=""red"" size=""5vw""> Time out! </font> <br> Please try to respond as quickly as possible. </p>","null","feedback","","","","","","","0"
"","","","","","html-keyboard-response","11","35559","0.0-5.0-0.2","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","645","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any key to continue to the next movie.</div>
        ","arrowdown","ITI","","","","","","",""
"","","","","","html-keyboard-response","12","36422","0.0-5.0-1.2","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","862","./stimuli//pack_morph_shapes_1/cat_1/diff_1/ex_1_1_15.gif","arrowleft","response","ArrowLeft","15","1","1","train","true",""
"","","","","","html-keyboard-response","13","37938","0.0-5.0-2.2","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","null","<p> <font color=""green"" size=""5vw""> Correct category! </font> </p>","null","feedback","","","","","","","0"
"","","","","","html-keyboard-response","14","38446","0.0-5.0-0.3","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","506","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any key to continue to the next movie.</div>
        ","arrowleft","ITI","","","","","","",""
"","","","","","html-keyboard-response","15","39461","0.0-5.0-1.3","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","1012","./stimuli//pack_morph_shapes_1/cat_2/diff_1/ex_2_1_6.gif","arrowright","response","ArrowRight","6","2","1","train","true",""
"","","","","","html-keyboard-response","16","40970","0.0-5.0-2.3","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","null","<p> <font color=""green"" size=""5vw""> Correct category! </font> </p>","null","feedback","","","","","","","0"
"","","","","","html-keyboard-response","17","41455","0.0-5.0-0.4","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","483","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any key to continue to the next movie.</div>
        ","arrowleft","ITI","","","","","","",""
"","","","","","html-keyboard-response","18","42149","0.0-5.0-1.4","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","693","./stimuli//pack_morph_shapes_1/cat_2/diff_2/ex_2_2_2.gif","arrowright","response","ArrowRight","2","2","2","train","true",""
"","","","","","html-keyboard-response","19","43664","0.0-5.0-2.4","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","null","<p> <font color=""green"" size=""5vw""> Correct category! </font> </p>","null","feedback","","","","","","","0"
"","","","","","html-keyboard-response","20","44051","0.0-5.0-0.5","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","386","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any key to continue to the next movie.</div>
        ","arrowleft","ITI","","","","","","",""
"","","","","","html-keyboard-response","21","44754","0.0-5.0-1.5","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","702","./stimuli//pack_morph_shapes_1/cat_2/diff_1/ex_2_1_16.gif","arrowright","response","ArrowRight","16","2","1","train","true",""
"","","","","","html-keyboard-response","22","46270","0.0-5.0-2.5","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","null","<p> <font color=""green"" size=""5vw""> Correct category! </font> </p>","null","feedback","","","","","","","0"
"","","","","","html-keyboard-response","23","46660","0.0-5.0-0.6","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","389","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any key to continue to the next movie.</div>
        ","arrowleft","ITI","","","","","","",""
"","","","","","html-keyboard-response","24","47972","0.0-5.0-1.6","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","1310","./stimuli//pack_morph_shapes_1/cat_2/diff_2/ex_2_2_17.gif","arrowleft","response","ArrowRight","17","2","2","train","false",""
"","","","","","html-keyboard-response","25","49482","0.0-5.0-2.6","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","null","<p> <font color=""red"" size=""5vw""> Wrong category! </font> </p>","null","feedback","","","","","","","0"
"","","","","","html-keyboard-response","26","49961","0.0-5.0-0.7","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","478","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any key to continue to the next movie.</div>
        ","arrowleft","ITI","","","","","","",""
"","","","","","html-keyboard-response","27","50781","0.0-5.0-1.7","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","818","./stimuli//pack_morph_shapes_1/cat_1/diff_2/ex_1_2_4.gif","arrowleft","response","ArrowLeft","4","1","2","train","true",""
"","","","","","html-keyboard-response","28","52284","0.0-5.0-2.7","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","null","<p> <font color=""green"" size=""5vw""> Correct category! </font> </p>","null","feedback","","","","","","","0"
"","","","","","html-keyboard-response","29","52568","0.0-5.0-0.8","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","281","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any key to continue to the next movie.</div>
        ","arrowleft","ITI","","","","","","",""
"","","","","","html-keyboard-response","30","53254","0.0-5.0-1.8","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","685","./stimuli//pack_morph_shapes_1/cat_1/diff_1/ex_1_1_2.gif","arrowleft","response","ArrowLeft","2","1","1","train","true",""
"","","","","","html-keyboard-response","31","54761","0.0-5.0-2.8","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","null","<p> <font color=""green"" size=""5vw""> Correct category! </font> </p>","null","feedback","","","","","","","0"
"","","","","","html-keyboard-response","32","55131","0.0-5.0-0.9","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","367","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any key to continue to the next movie.</div>
        ","arrowleft","ITI","","","","","","",""
"","","","","","html-keyboard-response","33","55695","0.0-5.0-1.9","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","557","./stimuli//pack_morph_shapes_1/cat_2/diff_1/ex_2_1_14.gif","arrowright","response","ArrowRight","14","2","1","train","true",""
"","","","","","html-keyboard-response","34","57224","0.0-5.0-2.9","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","null","<p> <font color=""green"" size=""5vw""> Correct category! </font> </p>","null","feedback","","","","","","","0"
"","","","","","html-keyboard-response","35","61080","0.0-6.0","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","3761","
            <b> <p> The practice round has finished.</p>
            <b> <p> For the rest of the experiment you will receive a bonus payment for each correct answer, which will be higher the faster you answer!</b></p>
            <b> </p> Also you will lose $0.05 from your bonus payment for each incorrect answer!</p>
            <p> Press any key to begin the test. </p>
            ","arrowleft","intermission","","","","","","",""
"","","","","","html-keyboard-response","36","61698","0.0-7.0-0.0","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","619","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any key to continue to the next movie.</div>
        ","arrowleft","ITI","","","","","","",""
"","","","","","html-keyboard-response","37","62361","0.0-7.0-1.0","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","659","./stimuli//pack_morph_shapes_1/cat_2/diff_1/ex_2_1_12.gif","arrowright","response","ArrowRight","12","2","1","test","true",""
"","","","","","html-keyboard-response","38","63868","0.0-7.0-2.0","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","null","<p> <font color=""green"" size=""5vw""> Correct category! </font> <br> <br> <font color=""green"" size=""8vw""> + $0.07 </font> </p>","null","feedback","","","","","","","0.07"
"","","","","","html-keyboard-response","39","64532","0.0-7.1-0.1","59cbc66c4374e1000125c8b5","6573617f270241e5da3d355d","6576c090d4df4e86c7ffd960","661","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0.07 </font>
            </div>
        </div>
    
            <div> Please press any key to continue to the next movie.</div>
        ","arrowdown","ITI","","","","","","",""
