"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","task","correct_response","exemplar_ID","category","difficulty","phase","correct","bonus"
"true","false","[]","[]","[]","preload","0","2","0.0-0.0","5deb9d5503356528d65d6bbb","6579d0c5e56c6e1626038f86","6579d16555071e3fcc6672c0","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","4491","0.0-1.0","5deb9d5503356528d65d6bbb","6579d0c5e56c6e1626038f86","6579d16555071e3fcc6672c0","4489","Welcome to the Category Learning experiment! Press any key to continue."," ","welcome","","","","","","",""
"","","","","","html-keyboard-response","2","23737","0.0-2.0","5deb9d5503356528d65d6bbb","6579d0c5e56c6e1626038f86","6579d16555071e3fcc6672c0","19245","
            <p>You will be shown movies. Each movie contains a shape that initially is hidden and is gradually revealed. 
            <br> Some shapes are category A, some are category B.
            <br> You will not know in advance which category each shape belongs to.</p>
            <p> While you watch a movie, you have to guess the category that the shape you see belongs to <b>(left arrow for category A, right arrow for category B)</b></p>
            <p> After you choose, the screen will show you whether you were correct or not.</p>
            <p>Press any key to continue.</p>
            ","arrowleft","introduction_1","","","","","","",""
"","","","","","html-keyboard-response","3","37499","0.0-3.0","5deb9d5503356528d65d6bbb","6579d0c5e56c6e1626038f86","6579d16555071e3fcc6672c0","13761","
              <p><b>You will receive a bonus payment for each correct answer! The faster you answer the higher the bonus will be!</b></p>
              <p> So you can increase your bonus by guessing as quickly and accurately as possible.</p>
              <p><b>You will lose $0.05 from your bonus payment for each incorrect answer! The bonus can not become less than $0.</b> </p>
              <p>Press any key to continue.</p>
              ","arrowleft","introduction_2","","","","","","",""
"","","","","","html-keyboard-response","4","41583","0.0-4.0","5deb9d5503356528d65d6bbb","6579d0c5e56c6e1626038f86","6579d16555071e3fcc6672c0","4084","
            <p> <b>The first 10 movies are a practice round that will not count towards your bonus payment.</b></p>
            <p> You will be notified when practice finishes and the test begins. </p>
            <p> Press any key to begin the practice round.</p>
            ","arrowleft","introduction_3","","","","","","",""
"","","","","","html-keyboard-response","5","43726","0.0-5.0-0.0","5deb9d5503356528d65d6bbb","6579d0c5e56c6e1626038f86","6579d16555071e3fcc6672c0","2143","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any key to continue to the next movie.</div>
        ","arrowleft","ITI","","","","","","",""
"","","","","","html-keyboard-response","6","48731","0.0-5.0-1.0","5deb9d5503356528d65d6bbb","6579d0c5e56c6e1626038f86","6579d16555071e3fcc6672c0","null","./stimuli//pack_morph_shapes_1/cat_1/diff_1/ex_1_1_14.mp4","null","response","ArrowLeft","14","1","1","train","false",""
"","","","","","html-keyboard-response","7","50241","0.0-5.0-2.0","5deb9d5503356528d65d6bbb","6579d0c5e56c6e1626038f86","6579d16555071e3fcc6672c0","null","<p> <font color=""red"" size=""5vw""> Time out! </font> <br> Please try to respond as quickly as possible. </p>","null","feedback","","","","","","","0"
"","","","","","html-keyboard-response","8","56887","0.0-5.0-0.1","5deb9d5503356528d65d6bbb","6579d0c5e56c6e1626038f86","6579d16555071e3fcc6672c0","6645","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any key to continue to the next movie.</div>
        ","arrowleft","ITI","","","","","","",""
"","","","","","html-keyboard-response","9","60150","0.0-5.0-1.1","5deb9d5503356528d65d6bbb","6579d0c5e56c6e1626038f86","6579d16555071e3fcc6672c0","3262","./stimuli//pack_morph_shapes_1/cat_2/diff_1/ex_2_1_9.mp4","arrowleft","response","ArrowRight","9","2","1","train","false",""
"","","","","","html-keyboard-response","10","61654","0.0-5.0-2.1","5deb9d5503356528d65d6bbb","6579d0c5e56c6e1626038f86","6579d16555071e3fcc6672c0","null","<p> <font color=""red"" size=""5vw""> Wrong category! </font> </p>","null","feedback","","","","","","","0"
"","","","","","html-keyboard-response","11","63480","0.0-5.0-0.2","5deb9d5503356528d65d6bbb","6579d0c5e56c6e1626038f86","6579d16555071e3fcc6672c0","1825","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any key to continue to the next movie.</div>
        ","arrowleft","ITI","","","","","","",""
"","","","","","html-keyboard-response","12","67923","0.0-5.0-1.2","5deb9d5503356528d65d6bbb","6579d0c5e56c6e1626038f86","6579d16555071e3fcc6672c0","4442","./stimuli//pack_morph_shapes_1/cat_2/diff_2/ex_2_2_10.mp4","arrowright","response","ArrowRight","10","2","2","train","true",""
"","","","","","html-keyboard-response","13","69429","0.0-5.0-2.2","5deb9d5503356528d65d6bbb","6579d0c5e56c6e1626038f86","6579d16555071e3fcc6672c0","null","<p> <font color=""green"" size=""5vw""> Correct category! </font> </p>","null","feedback","","","","","","","0"
"","","","","","html-keyboard-response","14","70346","0.0-5.0-0.3","5deb9d5503356528d65d6bbb","6579d0c5e56c6e1626038f86","6579d16555071e3fcc6672c0","916","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any key to continue to the next movie.</div>
        ","arrowright","ITI","","","","","","",""
"","","","","","html-keyboard-response","15","73756","0.0-5.0-1.3","5deb9d5503356528d65d6bbb","6579d0c5e56c6e1626038f86","6579d16555071e3fcc6672c0","3409","./stimuli//pack_morph_shapes_1/cat_1/diff_2/ex_1_2_11.mp4","arrowright","response","ArrowLeft","11","1","2","train","false",""
"","","","","","html-keyboard-response","16","75264","0.0-5.0-2.3","5deb9d5503356528d65d6bbb","6579d0c5e56c6e1626038f86","6579d16555071e3fcc6672c0","null","<p> <font color=""red"" size=""5vw""> Wrong category! </font> </p>","null","feedback","","","","","","","0"
"","","","","","html-keyboard-response","17","76274","0.0-5.0-0.4","5deb9d5503356528d65d6bbb","6579d0c5e56c6e1626038f86","6579d16555071e3fcc6672c0","1009","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any key to continue to the next movie.</div>
        ","arrowright","ITI","","","","","","",""
"","","","","","html-keyboard-response","18","79608","0.0-5.0-1.4","5deb9d5503356528d65d6bbb","6579d0c5e56c6e1626038f86","6579d16555071e3fcc6672c0","3333","./stimuli//pack_morph_shapes_1/cat_2/diff_1/ex_2_1_1.mp4","arrowright","response","ArrowRight","1","2","1","train","true",""
"","","","","","html-keyboard-response","19","81114","0.0-5.0-2.4","5deb9d5503356528d65d6bbb","6579d0c5e56c6e1626038f86","6579d16555071e3fcc6672c0","null","<p> <font color=""green"" size=""5vw""> Correct category! </font> </p>","null","feedback","","","","","","","0"
"","","","","","html-keyboard-response","20","82140","0.0-5.0-0.5","5deb9d5503356528d65d6bbb","6579d0c5e56c6e1626038f86","6579d16555071e3fcc6672c0","1025","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any key to continue to the next movie.</div>
        ","arrowright","ITI","","","","","","",""
"","","","","","html-keyboard-response","21","85502","0.0-5.0-1.5","5deb9d5503356528d65d6bbb","6579d0c5e56c6e1626038f86","6579d16555071e3fcc6672c0","3361","./stimuli//pack_morph_shapes_1/cat_2/diff_2/ex_2_2_6.mp4","arrowright","response","ArrowRight","6","2","2","train","true",""
"","","","","","html-keyboard-response","22","87015","0.0-5.0-2.5","5deb9d5503356528d65d6bbb","6579d0c5e56c6e1626038f86","6579d16555071e3fcc6672c0","null","<p> <font color=""green"" size=""5vw""> Correct category! </font> </p>","null","feedback","","","","","","","0"
"","","","","","html-keyboard-response","23","87982","0.0-5.0-0.6","5deb9d5503356528d65d6bbb","6579d0c5e56c6e1626038f86","6579d16555071e3fcc6672c0","967","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any key to continue to the next movie.</div>
        ","arrowright","ITI","","","","","","",""
"","","","","","html-keyboard-response","24","91093","0.0-5.0-1.6","5deb9d5503356528d65d6bbb","6579d0c5e56c6e1626038f86","6579d16555071e3fcc6672c0","3110","./stimuli//pack_morph_shapes_1/cat_1/diff_2/ex_1_2_8.mp4","arrowleft","response","ArrowLeft","8","1","2","train","true",""
"","","","","","html-keyboard-response","25","92599","0.0-5.0-2.6","5deb9d5503356528d65d6bbb","6579d0c5e56c6e1626038f86","6579d16555071e3fcc6672c0","null","<p> <font color=""green"" size=""5vw""> Correct category! </font> </p>","null","feedback","","","","","","","0"
"","","","","","html-keyboard-response","26","93244","0.0-5.0-0.7","5deb9d5503356528d65d6bbb","6579d0c5e56c6e1626038f86","6579d16555071e3fcc6672c0","644","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any key to continue to the next movie.</div>
        ","arrowleft","ITI","","","","","","",""
