success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,task,correct_response,exemplar_ID,category,difficulty,phase,correct,bonus,subject_id
TRUE,FALSE,[],[],[],preload,0,2,0.0-0.0,,,,,,,,,,,,2
,,,,,html-keyboard-response,1,3415,0.0-1.0,3412,Welcome to the Category Learning experiment! Press any key to continue.,',welcome,,,,,,,,2
,,,,,html-keyboard-response,2,52536,0.0-2.0,49121,"<p>You will be shown images of black shapes. Some are category A, some are category B.
            <br>You will not know in advance which category a specific shape belongs to.</p>
            <p>After you see an image, you will be asked to guess its category <b>(left arrow for category A, right arrow for category B)</b></p>
            <p>After you choose, the screen will show you whether you were correct or not.</p>
            <p><b>You will receive a bonus payment of $0.05 for each correct answer!</b></p>
            <p> So you can increase your bonus by guessing correctly, and by guessing as quickly as possible so you move on to the next image sooner.</p>
            <p>Press any key to continue.</p>",e,introduction_1,,,,,,,,2
,,,,,html-keyboard-response,3,58010,0.0-3.0,5483,"<p> <b>The first 10 trials are a practice round that will not count towards your bonus payment.</b></p>
            <p> You will be notified when practice finishes and the test begins. </p>
            <p> Press any key to begin the practice round.</p>",arrowright,introduction_2,,,,,,,,2
,,,,,html-keyboard-response,4,59987,0.0-4.0-0.0,1976,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>",arrowright,ITI,,,,,,,,2
,,,,,html-keyboard-response,5,60600,0.0-4.0-1.0,null,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
        <img class=""stim"" src=./stimuli//pack_shapes_diff/cat_1/diff_2/ex_1_2_6.png></img>",null,stimulus,,,,,,,,2
,,,,,html-keyboard-response,6,61606,0.0-4.0-2.0,null,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>",null,,,,,,,,,2
,,,,,html-keyboard-response,7,62631,0.0-4.0-3.0,1024,./stimuli//pack_shapes_diff/cat_1/diff_2/ex_1_2_6.png,arrowleft,response,ArrowLeft,6,1,2,train,TRUE,,2
,,,,,html-keyboard-response,8,64142,0.0-4.0-4.0,null,"<p> <font color=""green"" size=""5vw""> Correct category! </font> </p>",null,feedback,,,,,,,0,2
,,,,,html-keyboard-response,9,65111,0.0-4.0-0.1,968,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>",arrowleft,ITI,,,,,,,,2
,,,,,html-keyboard-response,10,65716,0.0-4.0-1.1,null,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
        <img class=""stim"" src=./stimuli//pack_shapes_diff/cat_2/diff_2/ex_2_2_6.png></img>",null,stimulus,,,,,,,,2
,,,,,html-keyboard-response,11,66723,0.0-4.0-2.1,null,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>",null,,,,,,,,,2
,,,,,html-keyboard-response,12,67847,0.0-4.0-3.1,1123,./stimuli//pack_shapes_diff/cat_2/diff_2/ex_2_2_6.png,arrowright,response,ArrowRight,6,2,2,train,TRUE,,2
,,,,,html-keyboard-response,13,69354,0.0-4.0-4.1,null,"<p> <font color=""green"" size=""5vw""> Correct category! </font> </p>",null,feedback,,,,,,,0,2
,,,,,html-keyboard-response,14,71084,0.0-4.0-0.2,1729,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>",arrowup,ITI,,,,,,,,2
,,,,,html-keyboard-response,15,71694,0.0-4.0-1.2,null,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
        <img class=""stim"" src=./stimuli//pack_shapes_diff/cat_1/diff_2/ex_1_2_12.png></img>",null,stimulus,,,,,,,,2
,,,,,html-keyboard-response,16,72709,0.0-4.0-2.2,null,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>",null,,,,,,,,,2
,,,,,html-keyboard-response,17,73689,0.0-4.0-3.2,979,./stimuli//pack_shapes_diff/cat_1/diff_2/ex_1_2_12.png,arrowleft,response,ArrowLeft,12,1,2,train,TRUE,,2
,,,,,html-keyboard-response,18,75194,0.0-4.0-4.2,null,"<p> <font color=""green"" size=""5vw""> Correct category! </font> </p>",null,feedback,,,,,,,0,2
,,,,,html-keyboard-response,19,76340,0.0-4.0-0.3,1145,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>",arrowleft,ITI,,,,,,,,2
,,,,,html-keyboard-response,20,76948,0.0-4.0-1.3,null,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
        <img class=""stim"" src=./stimuli//pack_shapes_diff/cat_2/diff_1/ex_2_1_9.png></img>",null,stimulus,,,,,,,,2
,,,,,html-keyboard-response,21,77954,0.0-4.0-2.3,null,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>",null,,,,,,,,,2
,,,,,html-keyboard-response,22,78240,0.0-4.0-3.3,285,./stimuli//pack_shapes_diff/cat_2/diff_1/ex_2_1_9.png,arrowright,response,ArrowRight,9,2,1,train,TRUE,,2
,,,,,html-keyboard-response,23,79743,0.0-4.0-4.3,null,"<p> <font color=""green"" size=""5vw""> Correct category! </font> </p>",null,feedback,,,,,,,0,2
,,,,,html-keyboard-response,24,80395,0.0-4.0-0.4,652,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>",arrowup,ITI,,,,,,,,2
,,,,,html-keyboard-response,25,80998,0.0-4.0-1.4,null,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
        <img class=""stim"" src=./stimuli//pack_shapes_diff/cat_1/diff_1/ex_1_1_13.png></img>",null,stimulus,,,,,,,,2
,,,,,html-keyboard-response,26,82004,0.0-4.0-2.4,null,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>",null,,,,,,,,,2
,,,,,html-keyboard-response,27,82567,0.0-4.0-3.4,562,./stimuli//pack_shapes_diff/cat_1/diff_1/ex_1_1_13.png,arrowleft,response,ArrowLeft,13,1,1,train,TRUE,,2
,,,,,html-keyboard-response,28,84072,0.0-4.0-4.4,null,"<p> <font color=""green"" size=""5vw""> Correct category! </font> </p>",null,feedback,,,,,,,0,2
,,,,,html-keyboard-response,29,84884,0.0-4.0-0.5,811,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>",arrowup,ITI,,,,,,,,2
,,,,,html-keyboard-response,30,85498,0.0-4.0-1.5,null,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
        <img class=""stim"" src=./stimuli//pack_shapes_diff/cat_2/diff_1/ex_2_1_14.png></img>",null,stimulus,,,,,,,,2
,,,,,html-keyboard-response,31,86506,0.0-4.0-2.5,null,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>",null,,,,,,,,,2
,,,,,html-keyboard-response,32,86809,0.0-4.0-3.5,303,./stimuli//pack_shapes_diff/cat_2/diff_1/ex_2_1_14.png,arrowright,response,ArrowRight,14,2,1,train,TRUE,,2
,,,,,html-keyboard-response,33,88321,0.0-4.0-4.5,null,"<p> <font color=""green"" size=""5vw""> Correct category! </font> </p>",null,feedback,,,,,,,0,2
,,,,,html-keyboard-response,34,89140,0.0-4.0-0.6,818,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>",arrowup,ITI,,,,,,,,2
,,,,,html-keyboard-response,35,89751,0.0-4.0-1.6,null,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
        <img class=""stim"" src=./stimuli//pack_shapes_diff/cat_1/diff_1/ex_1_1_7.png></img>",null,stimulus,,,,,,,,2
,,,,,html-keyboard-response,36,90752,0.0-4.0-2.6,null,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>",null,,,,,,,,,2
,,,,,html-keyboard-response,37,91050,0.0-4.0-3.6,297,./stimuli//pack_shapes_diff/cat_1/diff_1/ex_1_1_7.png,arrowleft,response,ArrowLeft,7,1,1,train,TRUE,,2
,,,,,html-keyboard-response,38,92556,0.0-4.0-4.6,null,"<p> <font color=""green"" size=""5vw""> Correct category! </font> </p>",null,feedback,,,,,,,0,2
,,,,,html-keyboard-response,39,93310,0.0-4.0-0.7,753,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>",arrowup,ITI,,,,,,,,2
,,,,,html-keyboard-response,40,93913,0.0-4.0-1.7,null,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
        <img class=""stim"" src=./stimuli//pack_shapes_diff/cat_1/diff_1/ex_1_1_15.png></img>",null,stimulus,,,,,,,,2
,,,,,html-keyboard-response,41,94922,0.0-4.0-2.7,null,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>",null,,,,,,,,,2
,,,,,html-keyboard-response,42,95351,0.0-4.0-3.7,428,./stimuli//pack_shapes_diff/cat_1/diff_1/ex_1_1_15.png,arrowright,response,ArrowLeft,15,1,1,train,FALSE,,2
,,,,,html-keyboard-response,43,96856,0.0-4.0-4.7,null,"<p> <font color=""red"" size=""5vw""> Wrong category! </font> </p>",null,feedback,,,,,,,0,2
,,,,,html-keyboard-response,44,97650,0.0-4.0-0.8,794,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>",arrowup,ITI,,,,,,,,2
,,,,,html-keyboard-response,45,98260,0.0-4.0-1.8,null,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
        <img class=""stim"" src=./stimuli//pack_shapes_diff/cat_2/diff_1/ex_2_1_8.png></img>",null,stimulus,,,,,,,,2
,,,,,html-keyboard-response,46,99275,0.0-4.0-2.8,null,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>",null,,,,,,,,,2
,,,,,html-keyboard-response,47,99675,0.0-4.0-3.8,399,./stimuli//pack_shapes_diff/cat_2/diff_1/ex_2_1_8.png,arrowright,response,ArrowRight,8,2,1,train,TRUE,,2
,,,,,html-keyboard-response,48,101188,0.0-4.0-4.8,null,"<p> <font color=""green"" size=""5vw""> Correct category! </font> </p>",null,feedback,,,,,,,0,2
,,,,,html-keyboard-response,49,101991,0.0-4.0-0.9,803,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>",arrowup,ITI,,,,,,,,2
,,,,,html-keyboard-response,50,102596,0.0-4.0-1.9,null,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
        <img class=""stim"" src=./stimuli//pack_shapes_diff/cat_2/diff_2/ex_2_2_15.png></img>",null,stimulus,,,,,,,,2
,,,,,html-keyboard-response,51,103603,0.0-4.0-2.9,null,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>",null,,,,,,,,,2
,,,,,html-keyboard-response,52,104389,0.0-4.0-3.9,786,./stimuli//pack_shapes_diff/cat_2/diff_2/ex_2_2_15.png,arrowright,response,ArrowRight,15,2,2,train,TRUE,,2
,,,,,html-keyboard-response,53,105904,0.0-4.0-4.9,null,"<p> <font color=""green"" size=""5vw""> Correct category! </font> </p>",null,feedback,,,,,,,0,2
,,,,,html-keyboard-response,54,109560,0.0-5.0,3656,"<b> <p> The practice round has finished.</p>
            <b> For the rest of the experiment you will receive a $0.05 bonus for each correct answer!</b>
            <p> Press any key to begin the test. </p>",arrowup,intermission,,,,,,,,2
,,,,,html-keyboard-response,55,110526,0.0-6.0-0.0,966,"<div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>",arrowup,ITI,,,,,,,,2
