thisRow.t,notes,response,correct,correct_response,response_time,difficulty,category,phase,stimulus_ID,stim presentation time,delay presentation time,AB presentation time,debugging_time,feedback presentation time,ITI presentation time,ITI response time,participant,session,date,
,,8,0,['9'],0.40434554099920206,1,1,train,,,,,,,,,,,2023-12-13_11h15.12.221,
,,9,0,"['5', '6', '7', '8']",0.7089022080035647,2,2,train,,,,,,,,,,,2023-12-13_11h15.12.221,
,,8,1,"['5', '6', '7', '8']",0.3019597080128733,1,2,train,,,,,,,,,,,2023-12-13_11h15.12.221,
,,8,1,"['5', '6', '7', '8']",0.3503895830071997,1,2,train,,,,,,,,,,,2023-12-13_11h15.12.221,
,,8,1,"['5', '6', '7', '8']",0.7037778750091093,2,2,train,,,,,,,,,,,2023-12-13_11h15.12.221,
,,8,0,['9'],0.3616326659976039,1,1,train,,,,,,,,,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.32468354199954774,2,1,train,,,,,,,,,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.43160849998821504,2,1,train,,,,,,,,,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.31836745800683275,1,1,train,,,,,,,,,,,2023-12-13_11h15.12.221,
,,8,1,"['5', '6', '7', '8']",0.2929542079946259,1,2,train,,,,,,,,,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.3918388739984948,1,1,test,2,0.01046829199185595,0.6136871670023538,1.6211223749996861,1.6210748749872437,2.1759396669949638,3.1778018750046613,1.4022823330014944,,,2023-12-13_11h15.12.221,
,,8,1,"['5', '6', '7', '8']",0.2627414989983663,1,2,test,2,4.772295874994597,5.374704582995037,6.37926724999852,1.6182672499999171,6.803160291994573,7.805132499997853,0.7031283749965951,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.2651795830024639,1,1,test,2,8.657968375002383,9.260594042003504,10.26517558300111,1.61409362500126,10.674115083005745,11.676047457993263,0.9761957489972701,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.2924784159986302,1,1,test,6,12.793613375004497,13.39592187499511,14.404600042005768,1.6214774580002995,14.83907645799627,15.840974167003878,0.5914002920035273,,,2023-12-13_11h15.12.221,
,,8,1,"['5', '6', '7', '8']",0.2962809169985121,1,2,test,18,16.591046250003274,17.19341424999584,18.197665500003495,1.6135661250009434,18.62882458299282,19.630613749992335,0.6700230410060612,,,2023-12-13_11h15.12.221,
,,8,1,"['5', '6', '7', '8']",0.37884516699705273,2,2,test,1,20.45941870799288,21.061870707999333,22.06621633299801,1.6120063330017729,22.60426729200117,23.60610554199957,0.641238666998106,,,2023-12-13_11h15.12.221,
,,9,0,"['5', '6', '7', '8']",0.3228547499893466,2,2,test,7,24.43213783300598,25.034575166995637,26.039253958006157,1.612026832997799,26.521464000004926,27.523388250003336,0.5382167079951614,,,2023-12-13_11h15.12.221,
,,8,1,"['5', '6', '7', '8']",0.22690570799750276,2,2,test,10,28.210735582993948,28.813357874998474,29.817319624999072,1.6120486250001704,30.190390207993914,31.192240958000184,0.5163829160010209,,,2023-12-13_11h15.12.221,
,,8,1,"['5', '6', '7', '8']",0.47087562500382774,2,2,test,5,31.859228166998946,32.46192191699811,33.46638066699961,1.612035416008439,34.085984916993766,35.08779454199248,0.28901587399013806,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.20937583300110418,2,1,test,2,35.5127322920016,36.1148936249956,37.11896079199505,1.6106412910012295,37.539840083001764,38.541725250004674,0.4920183740032371,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.30555791601364035,3,1,test,8,39.18979333300376,39.79247212500195,40.7969434169936,1.61550879200513,41.27448762499262,42.27644737499941,0.7572970000037458,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.3510589159996016,3,1,test,5,43.22243412499665,43.82506104199274,44.82923829200445,1.616860333000659,45.309849166995264,46.31187049999426,0.6178114580106921,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.23785824900551233,3,1,test,18,47.08725645800587,47.68982733300072,48.694415999998455,1.6128028329985682,49.104559625004185,50.106408249994274,0.3416056239948375,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.22832179100078065,3,1,test,11,50.60857016699447,51.21092529200541,52.215118666994385,1.6145818749937462,52.61295824999979,53.61480875000416,0.37202204098866787,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.1159293329983484,3,1,test,8,54.11022120800044,54.71267504199932,55.72147037499235,1.614900917003979,55.973476375002065,56.97540854199906,0.46233699898584746,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.245776998999645,4,1,test,4,57.604843624998466,58.21017129199754,59.21462945800158,1.6180216670036316,59.62715200000093,60.62903749999532,0.4231622499937657,,,2023-12-13_11h15.12.221,
,,9,0,"['5', '6', '7', '8']",0.21608699999342207,4,2,test,11,61.20890291700198,61.81138374999864,62.815463292005006,1.6108763749944046,63.19231437500275,64.1940394580015,0.35599666699999943,,,2023-12-13_11h15.12.221,
,,8,0,['9'],0.08380658300302457,4,1,test,18,64.72743108299619,65.32975983299548,66.33868833299493,1.6150541659881128,66.5605094999919,67.56238120800117,0.37765416598995216,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.4464373329974478,4,1,test,4,68.10846462499467,68.71101533299952,69.71515241700399,1.6112637909973273,70.2920002079918,71.2937543750013,0.37431383300281595,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.1411683749902295,4,1,test,9,71.86361791699892,72.4659800829977,73.4724280829978,1.6127393750066403,73.79323287500301,74.79504829199868,0.3909351250040345,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.21404454098956194,3,1,test,10,75.35502866699244,75.95736437500454,76.96172958299576,1.6139776250056457,77.323907375001,78.32564795800135,0.3644234990060795,,,2023-12-13_11h15.12.221,
,,9,0,"['5', '6', '7', '8']",0.25951854200684465,3,2,test,3,78.8160841249919,79.42263800000364,80.42749050000566,1.6157173749961657,80.82942708299379,81.83120016699831,0.43697229100507684,,,2023-12-13_11h15.12.221,
,,9,0,"['5', '6', '7', '8']",0.19634183299785946,3,2,test,3,82.4595996249991,83.06214462500066,84.06633716699434,1.6124105829949258,84.41573866699764,85.41769016699982,0.3394914160016924,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.23626729199895635,3,1,test,16,85.94293537500198,86.54539995800587,87.54952004199731,1.6116069160052575,87.93571108300239,88.93746787500277,0.3391824580030516,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.21180466700752731,3,1,test,11,89.44139883300522,90.04384241699881,91.04795508300595,1.6139846250007395,91.41012708299968,92.41187541700492,0.3572878330014646,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.24823087500408292,2,1,test,1,92.9273135830008,93.52943675000279,94.53357879200485,1.6113512500014622,94.93937991699204,95.9411305829999,0.3520397919928655,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.20341158300288953,2,1,test,13,96.462211207996,97.06434812500083,98.06848762500158,1.6104824159992859,98.4416579999961,99.44345037499443,0.32814179100387264,,,2023-12-13_11h15.12.221,
,,9,0,"['5', '6', '7', '8']",0.26081704199896194,2,2,test,16,99.95016908299294,100.55430158300442,101.55915724999795,1.6129763329954585,101.98137483300525,102.98329391700099,0.3659171250037616,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.22824395800125785,2,1,test,10,103.5241227499937,104.12620250000327,105.13085145800142,1.6175977499951841,105.5251087499928,106.52691833299468,0.36168879200704396,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.22012212399567943,2,1,test,18,107.03905449999729,107.64165245799813,108.64587374999246,1.6106993339926703,109.01097920800385,110.01276641699951,0.2767840410087956,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.307816583008389,3,1,test,1,110.4498505829979,111.05208508299256,112.05620424999506,1.6110020829946734,112.53919666699949,113.5409616669931,0.3586779160104925,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.29235891699499916,3,1,test,11,114.05219720800233,114.65577537499485,115.65987062499335,1.6126459579973016,116.09963516700373,117.10161991699715,0.39957895800762344,,,2023-12-13_11h15.12.221,
,,9,0,"['5', '6', '7', '8']",0.23205041600158438,3,2,test,3,117.69225754200306,118.2947019580024,119.29905600000347,1.6127892920048907,119.71776866700384,120.71956929199223,0.2551945409941254,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.21208229099283926,3,1,test,11,121.17980679200264,121.78198474999226,122.7860469169973,1.6107371660036733,123.13110416699783,124.13293862499995,0.34679808300279547,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.20627179100119974,3,1,test,11,124.6405472500046,125.24342829200032,126.24796208299813,1.61547433398664,126.60888645799423,127.61068016699573,0.36799337399133947,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.28978662501322106,4,1,test,4,128.12914370799263,128.73172120799427,129.73961208299443,1.6151019169919891,130.1931041249918,131.1948997080035,0.36784691699722316,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.3686742080026306,4,1,test,3,131.74180575000355,132.34420474999934,133.3486520830047,1.6160824999969918,133.86642320800456,134.86824137499207,0.28252020801301114,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.26398974999028724,4,1,test,9,135.30872404199908,135.91108641699248,136.91548304200114,1.6150430419947952,137.32215974999417,138.3239539579954,0.27800066700729076,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.1713680000102613,4,1,test,6,138.74587591699674,139.3479681250028,140.35631358300452,1.6148192919936264,140.65863383299438,141.6604905419954,0.3543877500051167,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.0008267919911304489,4,1,test,5,142.15051412499452,142.75637858299888,143.7606269579992,1.6140881249884842,143.93371962499805,144.9355295419955,0.32821404200512916,,,2023-12-13_11h15.12.221,
,,8,1,"['5', '6', '7', '8']",0.2501092080055969,5,2,test,8,145.42523370799609,146.02737637500104,147.0314342920028,1.6127560409950092,147.42473037500167,148.4265500420006,0.39740987500408664,,,2023-12-13_11h15.12.221,
,,9,0,"['5', '6', '7', '8']",0.2029072500008624,5,2,test,12,148.96005466699717,149.5622374999948,150.56688841700088,1.6112428750057006,150.900100999992,151.9020109999983,0.2980040830007056,,,2023-12-13_11h15.12.221,
,,8,1,"['5', '6', '7', '8']",0.2479085000086343,5,2,test,6,152.34102566700312,152.94330058299238,153.9476054169936,1.614917791011976,154.32938958299928,155.33122199999343,0.5417942499916535,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.030579833008232526,5,1,test,2,156.02119379199576,156.62391383299837,157.6279416670004,1.6111073339998256,157.8159529580007,158.81795145799697,0.32915566700103227,,,2023-12-13_11h15.12.221,
,,9,0,"['5', '6', '7', '8']",0.277341166001861,5,2,test,13,159.29308654200577,159.89592266699765,160.90025204200356,1.6154732090071775,161.34287374999258,162.34484866699495,0.25727799999003764,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.5245850829960546,4,1,test,9,162.76553124999919,163.3676387500018,164.3741912080004,1.613277125012246,165.027185458006,166.02914458299347,0.27882341599615756,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.422877040997264,4,1,test,15,166.47752200000104,167.07966474999557,168.08384166700125,1.6110409999964759,168.64961166700232,169.6514154579927,0.25907570800336543,,,2023-12-13_11h15.12.221,
,,9,0,"['5', '6', '7', '8']",0.14732083299895748,4,2,test,6,170.07802570800413,170.68012062499474,171.68448695799452,1.610631250005099,171.99620429199422,172.99800533299276,0.21427908301120624,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.21442899899557233,4,1,test,1,173.3760365420021,173.9782759170048,174.98231795799802,1.610403665996273,175.34422320799786,176.34602183300012,0.3604040409991285,,,2023-12-13_11h15.12.221,
,,8,1,"['5', '6', '7', '8']",0.09676162399409804,4,2,test,4,176.81242266700428,177.41452591700363,178.42203895800048,1.614056749996962,178.65882370799955,179.66069695800252,0.43966804099909496,,,2023-12-13_11h15.12.221,
,,8,1,"['5', '6', '7', '8']",0.2085920410027029,5,2,test,3,180.25671383300505,180.85927479200473,181.86344074999215,1.6144101250101812,182.18768341699615,183.18941525000264,0.350733790997765,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.021829999997862615,5,1,test,3,183.71037987500313,184.31262275000336,185.317020167,1.6119781250017695,185.52809649999836,186.5300203749939,0.4782031659997301,,,2023-12-13_11h15.12.221,
,,8,0,['9'],0.23215808300301433,5,1,test,15,187.16469179200067,187.76720758300507,188.77371116699942,1.6134694170032162,189.1340826670057,190.1358889999974,0.33553524999297224,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.21913866700197104,5,1,test,4,190.64742729200225,191.24965033300396,192.25687650000327,1.613766124995891,192.61001154199766,193.61193391699635,0.32840887500788085,,,2023-12-13_11h15.12.221,
,,9,0,"['5', '6', '7', '8']",0.23657325000385754,5,2,test,19,194.10176841699285,194.707383749992,195.71149400000286,1.6133807909936877,196.11373395800183,197.1155389170017,0.3349199160002172,,,2023-12-13_11h15.12.221,
,,9,0,"['5', '6', '7', '8']",0.23816754200379364,4,2,test,16,197.5926805420022,198.19487862499955,199.19884962499782,1.6106627080007456,199.62635299999965,200.6281549580017,0.30072066700086,,,2023-12-13_11h15.12.221,
,,9,0,"['5', '6', '7', '8']",0.2840703330002725,4,2,test,10,201.0996012079995,201.70173854200402,202.70700087500154,1.6117557499965187,203.14607529199566,204.14785399999528,0.3757432080019498,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.0814065419981489,4,1,test,3,204.6593092080002,205.26166583299346,206.26587854200625,1.614565166993998,206.49345483300567,207.49537324999983,0.2723237909958698,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.020285207996494137,4,1,test,18,207.9224732080038,208.52470841699687,209.5289732079982,1.610466792000807,209.75164050000603,210.75353470799746,0.30537958299100865,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.2502329160051886,4,1,test,9,211.2270221249928,211.82944158300234,212.83402679199935,1.6147268329950748,213.24968116699893,214.25162266699772,0.24353624999639578,,,2023-12-13_11h15.12.221,
,,9,0,"['5', '6', '7', '8']",0.21162270801141858,3,2,test,11,214.68439333299466,215.2900787499966,216.29461324999284,1.619208707998041,216.6617889170011,217.66375074999814,0.3020275420130929,,,2023-12-13_11h15.12.221,
,,8,1,"['5', '6', '7', '8']",0.2900150829955237,3,2,test,7,218.135546666992,218.74048591700557,219.74535879200266,1.6149215000041295,220.16574233300344,221.16759308299515,0.42529774899594486,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.18822345799708273,3,1,test,8,221.752540417001,222.35496254199825,223.3592687079945,1.6117027909931494,223.70730308299244,224.70912008300365,0.42865529099071864,,,2023-12-13_11h15.12.221,
,,8,1,"['5', '6', '7', '8']",0.20132116600871086,3,2,test,9,225.30177299999923,225.90399608299776,226.90816516699851,1.6115024169994285,227.26397904199257,228.2657527919946,0.41804541599412914,,,2023-12-13_11h15.12.221,
,,8,1,"['5', '6', '7', '8']",0.40433087400742806,3,2,test,16,228.84991329199693,229.45189145799668,230.45634037499258,1.6108137499977602,231.02267424999445,232.02449341700412,0.38266612398729194,,,2023-12-13_11h15.12.221,
,,9,1,['9'],0.20199491700623184,4,1,test,4,232.55820512499486,233.16040479199728,234.16446766699664,1.6098314590053633,234.53410512499977,235.5358830000041,0.39312620800046716,,,2023-12-13_11h15.12.221,
