thisRow.t,notes,response,correct,correct_response,response_time,difficulty,category,phase,stimulus_ID,stim presentation time,delay presentation time,AB presentation time,debugging_time,feedback presentation time,ITI presentation time,ITI response time,participant,session,date,
,,6,0,['9'],0.30411120799544733,1,1,train,,,,,,,,,,,2023-12-14_10h58.35.284,
,,9,1,['9'],0.23633308299758937,1,1,train,,,,,,,,,,,2023-12-14_10h58.35.284,
,,9,1,['9'],0.2367618330026744,1,1,train,,,,,,,,,,,2023-12-14_10h58.35.284,
,,6,1,"['5', '6', '7', '8']",0.29332695799530484,2,2,train,,,,,,,,,,,2023-12-14_10h58.35.284,
,,9,1,['9'],0.22171087400056422,2,1,train,,,,,,,,,,,2023-12-14_10h58.35.284,
,,6,1,"['5', '6', '7', '8']",0.25834100000793114,1,2,train,,,,,,,,,,,2023-12-14_10h58.35.284,
,,6,1,"['5', '6', '7', '8']",0.2492058320058277,2,2,train,,,,,,,,,,,2023-12-14_10h58.35.284,
,,6,1,"['5', '6', '7', '8']",0.25481641599617433,1,2,train,,,,,,,,,,,2023-12-14_10h58.35.284,
,,9,1,['9'],0.21986854099668562,2,1,train,,,,,,,,,,,2023-12-14_10h58.35.284,
,,6,1,"['5', '6', '7', '8']",0.35897087400371674,1,2,train,,,,,,,,,,,2023-12-14_10h58.35.284,
,,6,1,"['5', '6', '7', '8']",0.008418957004323602,1,2,test,1,0.005970915997750126,0.6084882079885574,1.612630415998865,1.6126167079928564,1.736183582994272,2.737979957993957,0.03070266600116156,,,2023-12-14_10h58.35.284,
,,6,1,"['5', '6', '7', '8']",0.134690541002783,1,2,test,1,2.8890826659917366,3.4912044999946374,4.495408999995561,1.6101564170094207,4.7189409579877974,5.720751499990001,0.17094416600593831,,,2023-12-14_10h58.35.284,
,,9,1,['9'],0.11848283300059848,1,1,test,15,5.996139124996262,6.598333832997014,7.6024915000016335,1.610406875013723,7.84401641599834,8.845769832987571,0.30191187500895467,,,2023-12-14_10h58.35.284,
,,9,1,['9'],0.10081704099138733,1,1,test,18,9.251884915996925,9.854242332992726,10.85841358298785,1.6101585830037948,11.068262957996922,12.070070457994007,0.066917916003149,,,2023-12-14_10h58.35.284,
,,6,1,"['5', '6', '7', '8']",0.07532954101043288,1,2,test,15,12.261482999994769,12.863642374999472,13.867776332990616,1.6095797499874607,14.019107249987428,15.020895041001495,0.37610945699270815,,,2023-12-14_10h58.35.284,
,,9,1,['9'],0.13399729099182878,2,1,test,15,15.494829457995365,16.09699329099385,17.101226374987164,1.6110141670069424,17.336467540997546,18.33826241600036,0.09357999899657443,,,2023-12-14_10h58.35.284,
,,6,1,"['5', '6', '7', '8']",0.07746737399429549,2,2,test,13,18.524469874988426,19.12666108299163,20.131079832994146,1.6108055410004454,20.30977670798893,21.31159029099217,0.41633183299563825,,,2023-12-14_10h58.35.284,
,,9,1,['9'],0.030813124001724645,2,1,test,6,21.827892332992633,22.430461124997237,23.434507665995625,1.6112104580097366,23.575164875001065,24.57695291598793,0.2610037489939714,,,2023-12-14_10h58.35.284,
,,6,1,"['5', '6', '7', '8']",0.09082591600599699,2,2,test,5,24.952757457998814,25.555253749989788,26.559583915994153,1.6122546249971492,26.730939916000352,27.73273762498866,0.1509613740054192,,,2023-12-14_10h58.35.284,
,,9,1,['9'],0.11013299899059348,2,1,test,3,27.993587249991833,28.595769082996412,29.600091957996483,1.610688916000072,29.811009582990664,30.81282520799141,0.06427987400093116,,,2023-12-14_10h58.35.284,
,,6,1,"['5', '6', '7', '8']",0.04847154099843465,3,2,test,15,30.98770599999989,31.589733249988058,32.5938391249947,1.610257125008502,32.731282957989606,33.73309275000065,0.35985558200627565,,,2023-12-14_10h58.35.284,
,,6,1,"['5', '6', '7', '8']",0.035097707994282246,3,2,test,13,34.1938580829883,34.796003582989215,35.800255040987395,1.610783166004694,35.937563499988755,36.93934774999798,0.2707980410050368,,,2023-12-14_10h58.35.284,
,,9,1,['9'],0.060585457002162,3,1,test,13,37.33339058299316,37.93541320798977,38.93993262499862,1.6104327499924693,39.09150154099916,40.0932536659966,0.2011910830042325,,,2023-12-14_10h58.35.284,
,,6,1,"['5', '6', '7', '8']",0.0749417490005726,3,2,test,3,40.40322433300025,41.00534274999518,42.009444249997614,1.6098998749948805,42.17413829099678,43.17609912499029,0.22818987400387414,,,2023-12-14_10h58.35.284,
,,6,1,"['5', '6', '7', '8']",0.07966208299330901,3,2,test,8,43.534487207987695,44.13669062498957,45.14082599998801,1.611067332996754,45.32164808300149,46.32353533299465,0.30545254099706654,,,2023-12-14_10h58.35.284,
,,9,0,"['5', '6', '7', '8']",0.15178124900558032,4,2,test,11,46.72638070800167,47.32866670799558,48.332742624988896,1.611157583000022,48.50472433299001,49.506507457990665,0.22696795700176153,,,2023-12-14_10h58.35.284,
,,9,1,['9'],0.11672379101219121,4,1,test,12,49.853583207994234,50.45570041600149,51.459822541000904,1.6111447080038488,51.68424279100145,52.68594858299184,0.14729629100474995,,,2023-12-14_10h58.35.284,
,,6,1,"['5', '6', '7', '8']",0.14131629100302234,4,2,test,9,52.93490379099967,53.53713087498909,54.54139354098879,1.610706791994744,54.78112116600096,55.78290595799626,0.26128662399423774,,,2023-12-14_10h58.35.284,
,,6,1,"['5', '6', '7', '8']",0.1721197070000926,4,2,test,2,56.152068040988524,56.75415216598776,57.75851958298881,1.6107956249907147,58.03357162499742,59.03533979099302,0.29872258300019894,,,2023-12-14_10h58.35.284,
,,6,0,['9'],0.05685637400893029,4,1,test,15,59.45032174998778,60.0527570409904,61.056809665999026,1.610895582998637,61.209376707993215,62.21116679099214,0.2574939159967471,,,2023-12-14_10h58.35.284,
,,9,1,['9'],0.0007018330070422962,3,1,test,10,62.59544995799661,63.19762495798932,64.20194862499193,1.6111446249997243,64.29724458299461,65.2990320409881,0.1115780830004951,,,2023-12-14_10h58.35.284,
,,6,1,"['5', '6', '7', '8']",0.10284845800197218,3,2,test,14,65.53487408299407,66.13698645799013,67.14105145799113,1.6102012920018751,67.33734962499875,68.33914687499055,0.042394541000248864,,,2023-12-14_10h58.35.284,
,,9,1,['9'],0.18092062399955466,3,1,test,4,68.50093779098825,69.10306812499766,70.10822824999923,1.611157291001291,70.39198633299384,71.39376358299342,0.39429520699195564,,,2023-12-14_10h58.35.284,
,,9,1,['9'],0.146497374997125,3,1,test,1,71.91001287499967,72.51212320799823,73.51626779099752,1.6103588749974733,73.77044454099087,74.77221345799626,0.012232499007950537,,,2023-12-14_10h58.35.284,
,,9,1,['9'],0.007966958000906743,3,1,test,8,74.87920620798832,75.48126287499326,76.48581437498797,1.6098775419959566,76.60534333299438,77.60744974999398,0.2561769580061082,,,2023-12-14_10h58.35.284,
,,9,1,['9'],0.08716237400949467,4,1,test,16,77.95964929099136,78.56211945800169,79.56668366599479,1.6116462079953635,79.7548055829975,80.75661570800003,0.2437934579938883,,,2023-12-14_10h58.35.284,
,,9,1,['9'],0.08812395700078923,4,1,test,7,81.1144896249898,81.71671224999591,82.72081662499113,1.6107515830080956,82.9175245410006,83.91926529099874,0.05640904100437183,,,2023-12-14_10h58.35.284,
,,6,1,"['5', '6', '7', '8']",0.004845749994274229,4,2,test,9,84.08651470798941,84.68873079099285,85.69309066599817,1.610919708997244,85.79657558299368,86.79837362498802,0.054196290991967544,,,2023-12-14_10h58.35.284,
,,9,1,['9'],0.09400483200442977,4,1,test,6,86.9397387499921,87.54190979099076,88.5459967909992,1.6097348339972086,88.75495808299456,89.75690174999181,0.05761374899884686,,,2023-12-14_10h58.35.284,
,,6,1,"['5', '6', '7', '8']",0.028673499007709324,4,2,test,4,89.92796499999531,90.53012270799081,91.53435666600126,1.611151457997039,91.65776920798817,92.65950129099656,0.23433216600096785,,,2023-12-14_10h58.35.284,
,,9,0,"['5', '6', '7', '8']",0.11711624899180606,5,2,test,15,93.03557895799167,93.6379025829956,94.64209899998968,1.6108885830035433,94.85283979099768,95.85457341599977,0.1300678749976214,,,2023-12-14_10h58.35.284,
,,6,0,['9'],0.04240325000137091,5,1,test,11,96.11403224999958,96.71635204099584,97.72076591599034,1.6145515410025837,97.85676354099996,98.85850962498807,0.2153607489890419,,,2023-12-14_10h58.35.284,
,,9,0,"['5', '6', '7', '8']",0.060555791002116166,5,2,test,17,99.20360974999494,99.80572362498788,100.81097041600151,1.6124963750044117,100.97876337499474,101.98054754099576,0.12599020698689856,,,2023-12-14_10h58.35.284,
,,6,1,"['5', '6', '7', '8']",0.07812199898762628,5,2,test,1,102.22771245799959,102.8297257499944,103.83423454099102,1.6108058339887066,104.0097192079993,105.01156737499696,0.31440304100397043,,,2023-12-14_10h58.35.284,
,,6,0,['9'],0.07650254099280573,5,1,test,15,105.4353655409941,106.03752558300039,107.04168229099014,1.6103197499905946,107.2306898329989,108.2325116659922,0.2473051239940105,,,2023-12-14_10h58.35.284,
,,9,1,['9'],0.020407625008374453,4,1,test,18,108.60638704099983,109.20855295799265,110.21319799999765,1.6107868330000201,110.34401795799204,111.34584741599974,0.22937416599597782,,,2023-12-14_10h58.35.284,
,,6,1,"['5', '6', '7', '8']",0.14565904100891203,4,2,test,2,111.69139324998832,112.29358766599034,113.29777166599524,1.610331749994657,113.55967033299385,114.5614519160008,0.08960970699263271,,,2023-12-14_10h58.35.284,
,,6,0,['9'],0.005014706999645568,4,1,test,16,114.75010741599544,115.35231787498924,116.3564749579964,1.610036707992549,116.48746029099857,117.48925970798882,0.1630064999917522,,,2023-12-14_10h58.35.284,
,,9,0,"['5', '6', '7', '8']",0.07909749999816995,4,2,test,13,117.76908012499916,118.37124445800146,119.37533424999856,1.6108927500026766,119.56042349999188,120.56216208299156,0.14167424899642356,,,2023-12-14_10h58.35.284,
,,6,1,"['5', '6', '7', '8']",0.01764862399431877,4,2,test,13,120.81420495799102,121.41634633298963,122.42072312498931,1.611104499999783,122.53288912499556,123.5347674999939,0.17843795800581574,,,2023-12-14_10h58.35.284,
,,9,1,['9'],0.17653224999958184,3,1,test,19,123.8445694999973,124.44691724999575,125.45106187499186,1.6104799999884563,125.74535208298767,126.74713854098809,0.18786558300780598,,,2023-12-14_10h58.35.284,
,,9,1,['9'],0.24594091600738466,3,1,test,11,127.04546179099998,127.64761729098973,128.65168712499144,1.6099489580083173,129.01710845799244,130.01884716599307,0.2611633740016259,,,2023-12-14_10h58.35.284,
,,9,1,['9'],0.16340099899389315,3,1,test,10,130.39088049999555,130.99305029099924,131.99713487499685,1.6104298749996815,132.34996145799232,133.35173912499158,0.28029683300701436,,,2023-12-14_10h58.35.284,
,,9,1,['9'],0.1347810000006575,3,1,test,6,133.7414505409979,134.3436403329979,135.3479559999978,1.6110715000104392,135.60873312498734,136.61050066599273,0.010575249005341902,,,2023-12-14_10h58.35.284,
,,6,1,"['5', '6', '7', '8']",0.1646630820032442,3,2,test,4,136.70942737499718,137.3116083329951,138.3159660409874,1.6102831669995794,138.60704629099928,139.6088190409937,0.19860504099051468,,,2023-12-14_10h58.35.284,
,,6,1,"['5', '6', '7', '8']",0.11330795800313354,4,2,test,15,139.96200541598955,140.56430129100045,141.568303166001,1.610555250008474,141.79978612498962,142.8015713749919,0.29552620800677687,,,2023-12-14_10h58.35.284,
,,6,1,"['5', '6', '7', '8']",0.12950879099662416,4,2,test,7,143.210916290991,143.81309491599677,144.8172185000003,1.6104949169966858,145.05976812499284,146.06153537498903,0.23000045800290536,,,2023-12-14_10h58.35.284,
,,6,1,"['5', '6', '7', '8']",0.06511829100782052,4,2,test,14,146.41332533299283,147.01538991599227,148.01957133298856,1.6107125830021687,148.19821916599176,149.2001817499986,0.14186008299293462,,,2023-12-14_10h58.35.284,
,,6,1,"['5', '6', '7', '8']",0.18283033299667295,4,2,test,8,149.4723478329979,150.07478154099954,151.07893158298975,1.6108696659939596,151.38663949999318,152.38843537498906,0.5019951659924118,,,2023-12-14_10h58.35.284,
