thisRow.t,notes,response,correct,correct_response,response_time,difficulty,category,phase,stimulus_ID,stim presentation time,delay presentation time,AB presentation time,debugging_time,feedback presentation time,ITI presentation time,ITI response time,participant,session,date,
,,8,0,['9'],0.5032576659868937,1,1,train,,,,,,,,,,,2023-12-14_09h41.30.700,
,,9,0,"['5', '6', '7', '8']",0.7224516660062363,2,2,train,,,,,,,,,,,2023-12-14_09h41.30.700,
,,9,1,['9'],0.3201622909982689,1,1,train,,,,,,,,,,,2023-12-14_09h41.30.700,
,,8,0,['9'],0.24282324900559615,2,1,train,,,,,,,,,,,2023-12-14_09h41.30.700,
,,8,1,"['5', '6', '7', '8']",0.36030050000408664,1,2,train,,,,,,,,,,,2023-12-14_09h41.30.700,
,,9,1,['9'],0.6092593320063315,1,1,train,,,,,,,,,,,2023-12-14_09h41.30.700,
,,8,1,"['5', '6', '7', '8']",0.3043306239997037,1,2,train,,,,,,,,,,,2023-12-14_09h41.30.700,
,,9,1,['9'],0.2679519159864867,2,1,train,,,,,,,,,,,2023-12-14_09h41.30.700,
,,8,1,"['5', '6', '7', '8']",0.61787491600262,1,2,train,,,,,,,,,,,2023-12-14_09h41.30.700,
,,9,0,"['5', '6', '7', '8']",0.2402174580056453,2,2,train,,,,,,,,,,,2023-12-14_09h41.30.700,
,,8,1,"['5', '6', '7', '8']",0.6262892910017399,1,2,test,3,0.009954666995326988,0.6130196250014706,1.6174549589923117,1.6174177499924554,2.4558575419941917,3.4576930000039283,0.8816576249955688,,,2023-12-14_09h41.30.700,
,,9,1,['9'],0.03396904100372922,1,1,test,7,4.495700833998853,5.09858983400045,6.102839125000173,1.611870499997167,6.312588874992798,7.31439058399701,0.8051508329954231,,,2023-12-14_09h41.30.700,
,,9,1,['9'],0.19612783299817238,1,1,test,3,8.247078417000012,8.849570916994708,9.854038874997059,1.6119765420007752,10.23237374999735,11.234279541997239,0.40408316599496175,,,2023-12-14_09h41.30.700,
,,9,1,['9'],0.03822858299827203,1,1,test,8,11.917110541995498,12.519671583999298,13.523828124991269,1.610794749998604,13.94713374999992,14.94893458399747,0.3584221240016632,,,2023-12-14_09h41.30.700,
,,8,1,"['5', '6', '7', '8']",0.2550640410045162,1,2,test,3,15.570499458990525,16.172874958996545,17.177022709001903,1.610794292006176,17.602861999999732,18.604747417004546,0.4548408330010716,,,2023-12-14_09h41.30.700,
,,9,1,['9'],0.0446566239988897,2,1,test,15,19.227609666995704,19.830249042002833,20.834464667001157,1.6112379170081113,21.037672374994145,22.039425791997928,0.43600699900707696,,,2023-12-14_09h41.30.700,
,,9,1,['9'],0.33347983300336637,2,1,test,5,22.739762833996792,23.342089999991003,24.346582625003066,1.6113228339963825,24.849310416990193,25.851052541998797,0.17063787500956096,,,2023-12-14_09h41.30.700,
,,9,1,['9'],0.7545929580082884,2,1,test,13,26.175194374998682,26.777338708998286,27.781630208992283,1.6102411250030855,28.70749479200458,29.709271667001303,0.19849816600617487,,,2023-12-14_09h41.30.700,
,,9,1,['9'],0.014770707988645881,2,1,test,3,30.081060791999334,30.683127541997237,31.68733924999833,1.6101104999979725,31.87344337499235,32.87532150000334,0.1267025409906637,,,2023-12-14_09h41.30.700,
,,9,1,['9'],0.9868211660068482,2,1,test,5,33.154024208997726,33.75610145900282,34.760443791994476,1.610008542003925,35.87293729199155,36.874815249990206,0.36717699898872524,,,2023-12-14_09h41.30.700,
,,8,1,"['5', '6', '7', '8']",0.18315754100331105,3,2,test,18,37.425447250003344,38.027615208993666,39.032086209001136,1.6107719159917906,39.38502649999282,40.386842459003674,0.16514341600122862,,,2023-12-14_09h41.30.700,
,,9,1,['9'],0.2571227500011446,3,1,test,19,40.73324145899096,41.335496458996204,42.34008520899806,1.6106678749929415,43.03552791700349,44.03735366699402,0.1152488740044646,,,2023-12-14_09h41.30.700,
,,8,1,"['5', '6', '7', '8']",0.10807891600416042,3,2,test,12,44.325264250001055,44.929033374995925,45.93333254200115,1.6118968749942724,46.18517504200281,47.18702512499294,0.22885045800649095,,,2023-12-14_09h41.30.700,
,,9,1,['9'],0.20449537399690598,3,1,test,6,47.56120766699314,48.163505624994286,49.167831416998524,1.6113327500061132,49.48276633399655,50.48455616699357,0.29532924899831414,,,2023-12-14_09h41.30.700,
,,9,1,['9'],0.37911500000336673,3,1,test,7,51.051565125002526,51.65409737499431,52.65835674999107,1.6107338329893537,53.18123991700122,54.183033583991346,0.20182974899944384,,,2023-12-14_09h41.30.700,
,,8,1,"['5', '6', '7', '8']",0.022214416007045656,4,2,test,13,54.54676450000261,55.14889050000056,56.15418874999159,1.6116529159917263,56.30638979199284,57.30820025000139,0.20493908200296573,,,2023-12-14_09h41.30.700,
,,9,1,['9'],0.491284916002769,4,1,test,7,57.71270629200444,58.31495391699718,59.31946120900102,1.6109255000046687,59.939851791990804,60.941619374993024,0.6341938330006087,,,2023-12-14_09h41.30.700,
