thisRow.t,notes,response,correct,correct_response,response_time,difficulty,category,phase,participant,session,date,
,,0,1,"['6', '7', '8', '9', '0']",1.2327913100016303,1,1,train,,,2023-12-12_14h43.51.353,
,,1,1,"['1', '2', '3', '4', '5']",0.7317450999980792,2,2,train,,,2023-12-12_14h43.51.353,
,,0,1,"['6', '7', '8', '9', '0']",1.0918849099980434,2,1,train,,,2023-12-12_14h43.51.353,
,,1,1,"['1', '2', '3', '4', '5']",0.3723967419937253,1,2,train,,,2023-12-12_14h43.51.353,
,,0,1,"['6', '7', '8', '9', '0']",1.4739106179986265,1,1,test,,,2023-12-12_14h43.51.353,
,,1,1,"['1', '2', '3', '4', '5']",0.6088426860005711,1,2,test,,,2023-12-12_14h43.51.353,
,,1,1,"['1', '2', '3', '4', '5']",2.8413064959968324,1,2,test,,,2023-12-12_14h43.51.353,
,,0,0,"['1', '2', '3', '4', '5']",3.2620555009998498,1,2,test,,,2023-12-12_14h43.51.353,
,,1,0,"['6', '7', '8', '9', '0']",1.745212239002285,1,1,test,,,2023-12-12_14h43.51.353,
,,0,1,"['6', '7', '8', '9', '0']",2.2807744050005567,1,1,test,,,2023-12-12_14h43.51.353,
,,1,1,"['1', '2', '3', '4', '5']",0.340734967001481,1,2,test,,,2023-12-12_14h43.51.353,
,,0,1,"['6', '7', '8', '9', '0']",0.7156285099990782,1,1,test,,,2023-12-12_14h43.51.353,
,,1,1,"['1', '2', '3', '4', '5']",0.7213353859988274,1,2,test,,,2023-12-12_14h43.51.353,
