response,correct,correct_response,response_time,difficulty,category,phase,bonus,participant,session,date,
7,0,"['1', '2', '3', '4', '5']",2.4647150999953737,2,2,train,,,,2023-12-14_21h04.18.983,
2,0,"['6', '7', '8', '9', '0']",3.1502187000005506,1,1,train,,,,2023-12-14_21h04.18.983,
7,0,"['1', '2', '3', '4', '5']",1.7250174000000698,1,2,train,,,,2023-12-14_21h04.18.983,
2,0,"['6', '7', '8', '9', '0']",2.219847899999877,2,1,train,,,,2023-12-14_21h04.18.983,
2,1,"['1', '2', '3', '4', '5']",2.280492100006086,1,2,test,0.063,,,2023-12-14_21h04.18.983,
7,1,"['6', '7', '8', '9', '0']",1.4440887999953702,1,1,test,0.075,,,2023-12-14_21h04.18.983,
2,1,"['1', '2', '3', '4', '5']",1.4043081999989226,1,2,test,0.076,,,2023-12-14_21h04.18.983,
7,1,"['6', '7', '8', '9', '0']",1.5186918000035803,1,1,test,0.074,,,2023-12-14_21h04.18.983,
7,1,"['6', '7', '8', '9', '0']",1.908352799997374,1,1,test,0.068,,,2023-12-14_21h04.18.983,
,0,"['6', '7', '8', '9', '0']",None,2,1,test,-0.05,,,2023-12-14_21h04.18.983,
7,0,"['1', '2', '3', '4', '5']",2.6019129999986035,2,2,test,-0.05,,,2023-12-14_21h04.18.983,
7,1,"['6', '7', '8', '9', '0']",1.466040699997393,2,1,test,0.075,,,2023-12-14_21h04.18.983,
