thisRow.t,notes,response,correct,correct_response,response_time,difficulty,category,phase,stimulus_ID,stim presentation time,delay presentation time,AB presentation time,debugging_time,feedback presentation time,ITI presentation time,ITI response time,participant,session,date,
,,8,1,"['5', '6', '7', '8']",0.7165493330103345,1,2,train,,,,,,,,,,,2023-12-13_10h21.04.831,
,,9,1,['9'],0.4551430829887977,1,1,train,,,,,,,,,,,2023-12-13_10h21.04.831,
,,9,1,['9'],0.4954552910057828,2,1,train,,,,,,,,,,,2023-12-13_10h21.04.831,
,,9,1,['9'],0.39907274999131914,2,1,train,,,,,,,,,,,2023-12-13_10h21.04.831,
,,9,1,['9'],0.4007567079970613,1,1,train,,,,,,,,,,,2023-12-13_10h21.04.831,
,,9,1,['9'],0.3893548330088379,1,1,train,,,,,,,,,,,2023-12-13_10h21.04.831,
,,8,1,"['5', '6', '7', '8']",0.26779129198985174,2,2,train,,,,,,,,,,,2023-12-13_10h21.04.831,
,,8,1,"['5', '6', '7', '8']",0.40433091700833756,2,2,train,,,,,,,,,,,2023-12-13_10h21.04.831,
,,8,1,"['5', '6', '7', '8']",0.31814474999555387,1,2,train,,,,,,,,,,,2023-12-13_10h21.04.831,
,,8,1,"['5', '6', '7', '8']",0.205723166000098,1,2,train,,,,,,,,,,,2023-12-13_10h21.04.831,
,,9,1,['9'],0.1127079989964841,1,1,test,1,0.031240166004863568,0.633750458000577,1.6384231660049409,1.638397917005932,2.103551749998587,3.1054417910054326,0.39902041701134294,,,2023-12-13_10h21.04.831,
,,9,1,['9'],0.2644504160125507,1,1,test,5,3.852218375002849,4.454872290996718,5.4595066659967415,1.6132144580042223,6.012822082993807,7.014787833002629,0.7515302920073736,,,2023-12-13_10h21.04.831,
,,9,1,['9'],0.41426979200332426,1,1,test,8,8.066032332993927,8.66854549999698,9.6734244160034,1.6131819160073064,10.379584624999552,11.381370332994265,0.4361982499976875,,,2023-12-13_10h21.04.831,
,,8,1,"['5', '6', '7', '8']",0.248724167002365,1,2,test,16,12.081812000003993,12.684214332999545,13.688438458004384,1.6112758749950444,14.28722650000418,15.289092624996556,0.22449016600148752,,,2023-12-13_10h21.04.831,
,,9,1,['9'],0.41226537399052177,1,1,test,7,15.826369749993319,16.429074250001577,17.433795290999115,1.6114289580000332,18.10892258300737,19.110816665997845,0.21056491600757,,,2023-12-13_10h21.04.831,
,,8,1,"['5', '6', '7', '8']",0.36183579100179486,2,2,test,2,19.606313333002618,20.20922645799874,21.213444875000278,1.6120853750035167,21.88770012500754,22.88946620799834,0.6003216660028556,,,2023-12-13_10h21.04.831,
